,Batch,Input_Feature,Length,Output_Feature,Kernel,Stride,Device,Time,Mult-Adds,Params
0,1,16,16,16,1,1,cuda,0.00022844552993774413,4352,272
1,1,16,16,16,1,4,cuda,0.00013317346572875978,1088,272
2,1,16,16,16,1,8,cuda,0.0001006007194519043,544,272
3,1,16,16,16,1,16,cuda,8.901119232177734e-05,272,272
4,1,16,16,16,1,64,cuda,8.722543716430665e-05,272,272
5,1,16,16,16,4,1,cuda,0.00012975215911865235,13520,1040
6,1,16,16,16,4,4,cuda,0.00014079809188842772,4160,1040
7,1,16,16,16,4,8,cuda,0.00012475252151489258,2080,1040
8,1,16,16,16,4,16,cuda,0.00012533664703369142,1040,1040
9,1,16,16,16,4,64,cuda,0.00012639760971069335,1040,1040
10,1,16,16,16,8,1,cuda,9.405136108398438e-05,18576,2064
11,1,16,16,16,8,4,cuda,8.955955505371093e-05,6192,2064
12,1,16,16,16,8,8,cuda,8.779048919677735e-05,4128,2064
13,1,16,16,16,8,16,cuda,8.60309600830078e-05,2064,2064
14,1,16,16,16,8,64,cuda,0.0001107335090637207,2064,2064
15,1,16,16,16,16,1,cuda,0.0001851177215576172,4112,4112
16,1,16,16,16,16,4,cuda,0.00019521474838256835,4112,4112
17,1,16,16,16,16,8,cuda,0.00020728349685668945,4112,4112
18,1,16,16,16,16,16,cuda,0.00019060611724853516,4112,4112
19,1,16,16,16,16,64,cuda,0.00018903732299804687,4112,4112
20,1,16,16,64,1,1,cuda,0.0001697850227355957,17408,1088
21,1,16,16,64,1,4,cuda,0.00014906644821166993,4352,1088
22,1,16,16,64,1,8,cuda,0.00017355203628540038,2176,1088
23,1,16,16,64,1,16,cuda,9.436845779418945e-05,1088,1088
24,1,16,16,64,1,64,cuda,8.992671966552735e-05,1088,1088
25,1,16,16,64,4,1,cuda,9.02104377746582e-05,54080,4160
26,1,16,16,64,4,4,cuda,0.0001276373863220215,16640,4160
27,1,16,16,64,4,8,cuda,0.00011999607086181641,8320,4160
28,1,16,16,64,4,16,cuda,8.911848068237305e-05,4160,4160
29,1,16,16,64,4,64,cuda,9.211301803588868e-05,4160,4160
30,1,16,16,64,8,1,cuda,9.629726409912109e-05,74304,8256
31,1,16,16,64,8,4,cuda,9.231805801391601e-05,24768,8256
32,1,16,16,64,8,8,cuda,0.0001180553436279297,16512,8256
33,1,16,16,64,8,16,cuda,9.46807861328125e-05,8256,8256
34,1,16,16,64,8,64,cuda,8.706331253051758e-05,8256,8256
35,1,16,16,64,16,1,cuda,0.00019962787628173827,16448,16448
36,1,16,16,64,16,4,cuda,0.00021100997924804687,16448,16448
37,1,16,16,64,16,8,cuda,0.0001838850975036621,16448,16448
38,1,16,16,64,16,16,cuda,0.00019481658935546875,16448,16448
39,1,16,16,64,16,64,cuda,0.00019031763076782227,16448,16448
40,1,16,16,256,1,1,cuda,0.00012038469314575195,69632,4352
41,1,16,16,256,1,4,cuda,0.00014676570892333985,17408,4352
42,1,16,16,256,1,8,cuda,0.00012335538864135742,8704,4352
43,1,16,16,256,1,16,cuda,8.792638778686524e-05,4352,4352
44,1,16,16,256,1,64,cuda,8.737325668334962e-05,4352,4352
45,1,16,16,256,4,1,cuda,9.286165237426758e-05,216320,16640
46,1,16,16,256,4,4,cuda,8.950233459472656e-05,66560,16640
47,1,16,16,256,4,8,cuda,9.520530700683594e-05,33280,16640
48,1,16,16,256,4,16,cuda,0.00011399269104003906,16640,16640
49,1,16,16,256,4,64,cuda,0.00010699748992919921,16640,16640
50,1,16,16,256,8,1,cuda,0.000142672061920166,297216,33024
51,1,16,16,256,8,4,cuda,9.256362915039063e-05,99072,33024
52,1,16,16,256,8,8,cuda,8.730173110961914e-05,66048,33024
53,1,16,16,256,8,16,cuda,8.749485015869141e-05,33024,33024
54,1,16,16,256,8,64,cuda,8.981227874755859e-05,33024,33024
55,1,16,16,256,16,1,cuda,0.00019125938415527345,65792,65792
56,1,16,16,256,16,4,cuda,0.00019020795822143554,65792,65792
57,1,16,16,256,16,8,cuda,0.000191495418548584,65792,65792
58,1,16,16,256,16,16,cuda,0.00019055604934692383,65792,65792
59,1,16,16,256,16,64,cuda,0.00019690275192260742,65792,65792
60,1,16,16,1024,1,1,cuda,0.00012275457382202149,278528,17408
61,1,16,16,1024,1,4,cuda,0.0001363825798034668,69632,17408
62,1,16,16,1024,1,8,cuda,0.0001285386085510254,34816,17408
63,1,16,16,1024,1,16,cuda,8.698701858520508e-05,17408,17408
64,1,16,16,1024,1,64,cuda,8.952140808105469e-05,17408,17408
65,1,16,16,1024,4,1,cuda,9.389638900756836e-05,865280,66560
66,1,16,16,1024,4,4,cuda,0.0001237034797668457,266240,66560
67,1,16,16,1024,4,8,cuda,9.048223495483398e-05,133120,66560
68,1,16,16,1024,4,16,cuda,8.75687599182129e-05,66560,66560
69,1,16,16,1024,4,64,cuda,0.00011387825012207031,66560,66560
70,1,16,16,1024,8,1,cuda,9.485960006713867e-05,1188864,132096
71,1,16,16,1024,8,4,cuda,8.893728256225585e-05,396288,132096
72,1,16,16,1024,8,8,cuda,8.85176658630371e-05,264192,132096
73,1,16,16,1024,8,16,cuda,8.942604064941406e-05,132096,132096
74,1,16,16,1024,8,64,cuda,8.449554443359374e-05,132096,132096
75,1,16,16,1024,16,1,cuda,0.0002668428421020508,263168,263168
76,1,16,16,1024,16,4,cuda,0.0002605056762695313,263168,263168
77,1,16,16,1024,16,8,cuda,0.00025938749313354493,263168,263168
78,1,16,16,1024,16,16,cuda,0.0002563667297363281,263168,263168
79,1,16,16,1024,16,64,cuda,0.00024837493896484375,263168,263168
80,1,16,16,2048,1,1,cuda,0.00014528751373291016,557056,34816
81,1,16,16,2048,1,4,cuda,0.00012705087661743164,139264,34816
82,1,16,16,2048,1,8,cuda,0.00012308597564697265,69632,34816
