,Batch,Input_Feature,Length,Head,Device,Time,Mult-Adds,Params
0,1,16,16,1,cuda,0.00031242609024047854,0,1088
1,1,16,16,2,cuda,0.000309910774230957,0,1088
2,1,16,16,4,cuda,0.00035408735275268557,0,1088
3,1,16,16,8,cuda,0.00030089616775512694,0,1088
4,1,16,16,16,cuda,0.00029536008834838865,0,1088
5,1,16,64,1,cuda,0.00036228656768798827,0,1088
6,1,16,64,2,cuda,0.0003271842002868652,0,1088
7,1,16,64,4,cuda,0.0003261971473693848,0,1088
8,1,16,64,8,cuda,0.0003920578956604004,0,1088
9,1,16,64,16,cuda,0.0003170156478881836,0,1088
10,1,16,256,1,cuda,0.0002930569648742676,0,1088
11,1,16,256,2,cuda,0.0003417205810546875,0,1088
12,1,16,256,4,cuda,0.00045264244079589843,0,1088
13,1,16,256,8,cuda,0.0003300333023071289,0,1088
14,1,16,256,16,cuda,0.0003339266777038574,0,1088
15,1,16,1024,1,cuda,0.00047286272048950194,0,1088
16,1,16,1024,2,cuda,0.0006143426895141601,0,1088
17,1,16,1024,4,cuda,0.0009509038925170899,0,1088
18,1,16,1024,8,cuda,0.0012595629692077636,0,1088
19,1,16,1024,16,cuda,0.0017496705055236816,0,1088
20,1,16,2048,1,cuda,0.0009243226051330566,0,1088
21,1,16,2048,2,cuda,0.0014368772506713867,0,1088
22,1,16,2048,4,cuda,0.0021431970596313475,0,1088
23,1,16,2048,8,cuda,0.004024314880371094,0,1088
24,1,16,2048,16,cuda,0.008285937309265136,0,1088
25,1,64,16,1,cuda,0.0005699467658996583,0,16640
26,1,64,16,2,cuda,0.0006986069679260254,0,16640
27,1,64,16,4,cuda,0.0005503821372985839,0,16640
28,1,64,16,8,cuda,0.0010948634147644042,0,16640
29,1,64,16,16,cuda,0.0011879706382751465,0,16640
30,1,64,64,1,cuda,0.0005520772933959961,0,16640
31,1,64,64,2,cuda,0.0003771352767944336,0,16640
32,1,64,64,4,cuda,0.00037963628768920897,0,16640
33,1,64,64,8,cuda,0.0003436493873596191,0,16640
34,1,64,64,16,cuda,0.0003383207321166992,0,16640
35,1,64,256,1,cuda,0.000383293628692627,0,16640
36,1,64,256,2,cuda,0.0004152655601501465,0,16640
37,1,64,256,4,cuda,0.0003467440605163574,0,16640
38,1,64,256,8,cuda,0.00035516738891601564,0,16640
39,1,64,256,16,cuda,0.0003262782096862793,0,16640
40,1,64,1024,1,cuda,0.0004073667526245117,0,16640
41,1,64,1024,2,cuda,0.0006144881248474121,0,16640
42,1,64,1024,4,cuda,0.0008249497413635254,0,16640
43,1,64,1024,8,cuda,0.0012225270271301269,0,16640
44,1,64,1024,16,cuda,0.0021018528938293456,0,16640
45,1,64,2048,1,cuda,0.0009918069839477538,0,16640
46,1,64,2048,2,cuda,0.0015309476852416993,0,16640
47,1,64,2048,4,cuda,0.002284965515136719,0,16640
48,1,64,2048,8,cuda,0.003978047370910644,0,16640
49,1,64,2048,16,cuda,0.008845913410186767,0,16640
50,1,256,16,1,cuda,0.0006285643577575683,0,263168
51,1,256,16,2,cuda,0.0008263325691223144,0,263168
52,1,256,16,4,cuda,0.0008715295791625977,0,263168
53,1,256,16,8,cuda,0.0008071136474609375,0,263168
54,1,256,16,16,cuda,0.0021793556213378904,0,263168
55,1,256,64,1,cuda,0.0013737773895263672,0,263168
56,1,256,64,2,cuda,0.0004030442237854004,0,263168
57,1,256,64,4,cuda,0.00036715030670166017,0,263168
58,1,256,64,8,cuda,0.00036098957061767576,0,263168
59,1,256,64,16,cuda,0.00038531541824340823,0,263168
60,1,256,256,1,cuda,0.00045571088790893557,0,263168
61,1,256,256,2,cuda,0.00043564558029174805,0,263168
62,1,256,256,4,cuda,0.00043947696685791015,0,263168
63,1,256,256,8,cuda,0.0003914022445678711,0,263168
64,1,256,256,16,cuda,0.0003897356986999512,0,263168
65,1,256,1024,1,cuda,0.0006398820877075196,0,263168
66,1,256,1024,2,cuda,0.0008787989616394043,0,263168
67,1,256,1024,4,cuda,0.0010191178321838378,0,263168
68,1,256,1024,8,cuda,0.0013299107551574707,0,263168
69,1,256,1024,16,cuda,0.0022546982765197753,0,263168
70,1,256,2048,1,cuda,0.0020624709129333494,0,263168
71,1,256,2048,2,cuda,0.0023829102516174316,0,263168
72,1,256,2048,4,cuda,0.002886843681335449,0,263168
73,1,256,2048,8,cuda,0.004660475254058838,0,263168
74,1,256,2048,16,cuda,0.007848618030548095,0,263168
75,1,1024,16,1,cuda,0.0005716395378112793,0,4198400
76,1,1024,16,2,cuda,0.0005436229705810547,0,4198400
77,1,1024,16,4,cuda,0.0005515789985656738,0,4198400
78,1,1024,16,8,cuda,0.0006091952323913574,0,4198400
79,1,1024,16,16,cuda,0.0005235052108764648,0,4198400
80,1,1024,64,1,cuda,0.0005255985260009766,0,4198400
81,1,1024,64,2,cuda,0.000511336326599121,0,4198400
82,1,1024,64,4,cuda,0.0005219721794128418,0,4198400
83,1,1024,64,8,cuda,0.0005863976478576661,0,4198400
84,1,1024,64,16,cuda,0.000495445728302002,0,4198400
85,1,1024,256,1,cuda,0.0008290863037109375,0,4198400
86,1,1024,256,2,cuda,0.0009428596496582031,0,4198400
87,1,1024,256,4,cuda,0.0008990573883056641,0,4198400
88,1,1024,256,8,cuda,0.0009136700630187988,0,4198400
89,1,1024,256,16,cuda,0.0009364628791809082,0,4198400
90,1,1024,1024,1,cuda,0.003916621208190918,0,4198400
91,1,1024,1024,2,cuda,0.0036618947982788087,0,4198400
92,1,1024,1024,4,cuda,0.0038117551803588867,0,4198400
93,1,1024,1024,8,cuda,0.004248287677764893,0,4198400
94,1,1024,1024,16,cuda,0.004763717651367187,0,4198400
95,1,1024,2048,1,cuda,0.009637303352355957,0,4198400
96,1,1024,2048,2,cuda,0.010184864997863769,0,4198400
97,1,1024,2048,4,cuda,0.010519468784332275,0,4198400
98,1,1024,2048,8,cuda,0.01179201364517212,0,4198400
99,1,1024,2048,16,cuda,0.014908981323242188,0,4198400
100,1,2048,16,1,cuda,0.0006870508193969726,0,16785408
101,1,2048,16,2,cuda,0.0005958938598632813,0,16785408
102,1,2048,16,4,cuda,0.0005983686447143554,0,16785408
103,1,2048,16,8,cuda,0.000587301254272461,0,16785408
104,1,2048,16,16,cuda,0.0006126713752746582,0,16785408
105,1,2048,64,1,cuda,0.0009400796890258789,0,16785408
106,1,2048,64,2,cuda,0.0009762024879455566,0,16785408
107,1,2048,64,4,cuda,0.0009195446968078613,0,16785408
108,1,2048,64,8,cuda,0.0009066152572631836,0,16785408
109,1,2048,64,16,cuda,0.0009021782875061036,0,16785408
110,1,2048,256,1,cuda,0.003239996433258057,0,16785408
111,1,2048,256,2,cuda,0.002909572124481201,0,16785408
112,1,2048,256,4,cuda,0.003009974956512451,0,16785408
113,1,2048,256,8,cuda,0.0032268643379211428,0,16785408
114,1,2048,256,16,cuda,0.0030809450149536133,0,16785408
115,1,2048,1024,1,cuda,0.013250219821929931,0,16785408
116,1,2048,1024,2,cuda,0.013315949440002441,0,16785408
117,1,2048,1024,4,cuda,0.01339564323425293,0,16785408
118,1,2048,1024,8,cuda,0.013725380897521972,0,16785408
119,1,2048,1024,16,cuda,0.014587497711181641,0,16785408
120,1,2048,2048,1,cuda,0.02917370557785034,0,16785408
121,1,2048,2048,2,cuda,0.029793457984924318,0,16785408
122,1,2048,2048,4,cuda,0.0301800274848938,0,16785408
123,1,2048,2048,8,cuda,0.031227991580963135,0,16785408
124,1,2048,2048,16,cuda,0.03329070091247559,0,16785408
